"","name","ratingOverall","ratingKeyword","totalReviews","atmosphere","cleanliness","facilities","location","security","staff","valueformoney","address"
"205","
                        Mosaic Machiya KSK
                    ","
            8.6
        ","Fabulous","2 Total Reviews",10,8,4,10,8,10,10,"702 Shinsei-cho, Kamigyo-ku, Kyoto, Japan"
"206","
                        Kyoto classical house -Murasakian -
                    ","
            8.6
        ","Fabulous","1 Total Review",NA,NA,NA,NA,NA,NA,NA,"10 Higashi Sendouchyo Murasakino Kita-ku"
"207","
                        Kyoto Be Open Hostel
                    ","
            8.0
        ","Fabulous","4 Total Reviews",8,9,5,9,9,9,7,"65 Ukabe-cho, Higashikujyo, Minamiku, Kyoto"
"208","
                        Colours
                    ","
            9.1
        ","Superb","5 Total Reviews",7,10,9,8,10,10,10,"660 Funaya-cho, Shimogyo-ku, Kyoto-shi"
"209","
                        Guesthouse Origami
                    ","
            8.4
        ","Fabulous","249 Total Reviews",8.3,7.7,8.3,8.6,9.1,8.3,8.9,"766 Honryuu Suichou Simogyo ku,Kyoto si, Kyoto pre"
"210","
                        You En Me House
                    ","
            6.9
        ","Good","11 Total Reviews",6,8,4,6,8,10,6,"401 Kamigojo-cho, Shimogyo-ku"
"211","
                        Guest House Aoi Nakamoto
                    ","
            9.4
        ","Superb","1 Total Review",NA,NA,NA,NA,NA,NA,NA,"Shishigatani, Hounennin Nishimachi 26"
"212","
                        Ark Hostel
                    ","
            9.1
        ","Superb","822 Total Reviews",8.5,9.3,9,9,9.3,9.2,9.3,"1-15-11 Edobori, Nishi-ku"
"213","
                        Hostel Mitsuwaya Osaka
                    ","
            9.5
        ","Superb","647 Total Reviews",9.3,9.8,9.4,9.1,9.5,9.9,9.5,"2-5-15, Kawarayamachi, Chuo-ku, Osaka-shi"
"214","
                        Backstage Osaka Hostel & Bar
                    ","
            9.4
        ","Superb","136 Total Reviews",9.6,9,9,9.8,9.1,9.7,9.5,"1-2-20 Kozu, Chuo ku,Osaka"
"215","
                        Hostel Bushi
                    ","
            8.5
        ","Fabulous","295 Total Reviews",7.9,8.6,8.2,8.4,8.7,8.9,9,"1-3-6 Gamou, Jyoto-ku, Osaka city, Osaka"
"216","
                        Guesthouse U-En
                    ","
            9.5
        ","Superb","1251 Total Reviews",9.4,9.6,9.3,9.2,9.5,9.9,9.6,"2-9-23, Fukushima,, Fukushima-ku"
"217","
                        ""Bike & Bed"" CharinCo Hostel
                    ","
            9.3
        ","Superb","284 Total Reviews",9.1,9.7,9.3,8.9,8.9,9.7,9.5,"2-2-9 Yariya-machi,Chuo-ku,Osaka"
"218","
                        Tani9 Backpackers Osaka
                    ","
            9.3
        ","Superb","481 Total Reviews",9.1,9.7,9.3,9.3,9.4,9.6,9,"1-2-17 Kouzu Chuo ku, Osaka city"
"219","
                        Osaka Fuku Hostel Namba
                    ","
            9.6
        ","Superb","152 Total Reviews",9.4,9.5,9.8,9.9,9.3,9.9,9.8,"2-9-6 3F Sennichimae, Chuo-ku"
"220","
                        Music & Coffee Hostel LnK (LODGING & KIN)
                    ","
            9.4
        ","Superb","101 Total Reviews",9.4,9.5,9.5,9.5,9.1,9.6,9.5,"2-8-22 Nihonbashinisi Naniwaku Osaka"
"221","
                        Osaka Fuku Hostel Nagomi
                    ","
            9.6
        ","Superb","149 Total Reviews",9.5,9.7,9.6,9.9,9,9.9,9.6,"1-5-10 Nipponbashi, Chuo-ku"
"222","
                        The Pax Hostel/Records/More
                    ","
            9.5
        ","Superb","413 Total Reviews",9.3,9.5,9.3,9.4,9.4,9.8,9.4,"1-20-5 EBISU-HIGASHI NANIWA-KU, OSAKA"
"223","
                        Honjin Hostel
                    ","
            9.4
        ","Superb","31 Total Reviews",8.7,9.5,9.4,9.5,9.5,9.2,9.7,"2-9, Tamatsukuri Motomachi, Tennoji-ku"
"224","
                        Backpackers Hotel Toyo Osaka
                    ","
            8.7
        ","Fabulous","3270 Total Reviews",8.3,8.2,8.6,8.6,9,9,9,"1-3-5, Taishi, Nishinari"
"225","
                        Funtoco Backpackers Namba
                    ","
            9.4
        ","Superb","228 Total Reviews",9,9.8,9.1,8.9,9.4,9.9,9.7,"Nihonbashi-nishi 2-5-6, Naniwa-ku"
"226","
                        Picnic Hostel Osaka
                    ","
            9.1
        ","Superb","94 Total Reviews",7.8,9.5,8.5,9.5,9.3,9.5,9.6,"2-8-3 saiwai tyou,naniwa ku, osaka"
"227","
                        Sakura La An
                    ","
            9.5
        ","Superb","478 Total Reviews",9.1,9.7,9.2,9.2,9.7,9.8,9.5,"6F 3-1-28 Tenjinbashi, Kita-Ku"
"228","
                        J-Hoppers Osaka Guesthouse
                    ","
            9.4
        ","Superb","3106 Total Reviews",9.1,9.5,9.2,9.3,9.5,9.7,9.6,"4-22, Fukushima 7-chome, Fukushima-ku, Osaka-City"
"229","
                        Khaosan World Namba
                    ","
            8.7
        ","Fabulous","1102 Total Reviews",7.7,8.4,8.6,9.4,9.1,9.1,8.8,"1-2-13, Motomachi, Naniwa-ku, Osaka-city"
"230","
                        Osaka Guesthouse Hive
                    ","
            8.2
        ","Fabulous","164 Total Reviews",7.5,8.5,8.1,7.8,8.7,8.6,8,"6-24-6 Fukushima Fukushimaku, Osaka-shi"
"231","
                        The Blend Inn
                    ","
            9.8
        ","Superb","53 Total Reviews",9.6,10,9.6,9.2,10,10,10,"1-24-21 Baika, Konohana-ku, Osaka-shi, Osaka-fu"
"232","
                        HOSTEL WASABI Osaka Bed with Library
                    ","
            9.1
        ","Superb","234 Total Reviews",8.4,9.4,8.8,9.8,9.1,9.1,9.1,"2-9-7, Sennichimae, Chuo-ku, Osaka-shi, Osaka"
"233","
                        Ikidane House Namba
                    ","
            8.9
        ","Fabulous","109 Total Reviews",8.2,9.4,9,8.4,9,9.1,9.3,"1-12-2 Oginojaya Nishinari-ku Osaka"
"234","
                        Osaka Guest House Midoriya
                    ","
            9.6
        ","Superb","324 Total Reviews",9.7,9.9,9.4,9,9.7,10,9.7,"6-9-6 Higashi nakahama, Jyoutou-ku, Osaka si"
"235","
                        Osaka Hana Hostel
                    ","
            9.3
        ","Superb","1555 Total Reviews",8.3,9.5,9.2,9.9,9.1,9.8,9.5,"1-8-4, Nishi-Shinsaibashi,, Chuo-ku"
"236","
                        Osaka Guesthouse SUN
                    ","
            9.2
        ","Superb","233 Total Reviews",9.1,9.3,8.7,9.3,8.9,9.7,9.3,"2-1-3 Saiwai-cho, Naniwa-ku, Osaka-shi"
"237","
                        Hostel 64 Osaka
                    ","
            9.2
        ","Superb","1321 Total Reviews",9.1,9.4,9,8.9,9.2,9.5,9.3,"3-11-20 Shinmachi, Nishi-ku"
"238","
                        Osaka Guesthouse Sakura
                    ","
            8.9
        ","Fabulous","108 Total Reviews",8.8,8.9,9,8.4,9.1,9.4,8.9,"6-3-5 Nishitenma, Kita-ku, Osaka-shi"
"239","
                        STAY in the City AMEMURA
                    ","
            9.0
        ","Superb","10 Total Reviews",8,10,8.6,9.8,8.2,9.2,9.2,"2-18-15 Nishi-Shinsaibashi, Chuo-ku, Osaka-shi"
"240","
                        Imano Osaka Shinsaibashi Hostel
                    ","
            8.9
        ","Fabulous","2 Total Reviews",8,10,7,10,9,10,8,"1-13-28 Kitahorie,Nishi-ku,Osaka"
"241","
                        Peace House Suzunami
                    ","
            8.2
        ","Fabulous","173 Total Reviews",7.9,7.4,8.3,9.1,8,8.1,8.6,"3-20, Chausuyamacho, Tennoji-ku, Osaka"
"242","
                        Osaka GuestHouse KOMA
                    ","
            8.7
        ","Fabulous","434 Total Reviews",8.6,8.3,8.3,9.2,8.7,9.1,9,"2-3-12 Saiwai-Cho, Naniwa-ku"
"243","
                        Air Osaka Hostel
                    ","
            8.9
        ","Fabulous","302 Total Reviews",9.5,8.5,8.5,8.6,8.6,9.5,9.3,"2-9-19, Kitakagaya, Suminoe-ku"
"244","
                        Drop Inn Osaka
                    ","
            9.1
        ","Superb","408 Total Reviews",8.1,9.5,9.1,9.2,9.6,9.6,8.9,"Drop Inn Osaka 3F Nishi Umeda First Building, Fukushima 6-12-13, Fukushima-ku"
"245","
                        Hostel Ebisutei Souzou with Sake Bar
                    ","
            7.9
        ","Very Good","105 Total Reviews",7.7,7.6,7.4,8.7,7,8.3,8.3,"5-13-3, Nihonbashi, Naniwaku, Osaka"
"246","
                        Guest House Matsu
                    ","
            9.4
        ","Superb","86 Total Reviews",9.2,9.6,9.3,9.3,8.8,9.7,9.6,"1-2-20,Matsu,Nishinari-ku Osaka"
"247","
                        Hostel Rakutsuki
                    ","
            9.0
        ","Superb","67 Total Reviews",8,9.7,8.6,9.7,8.7,9.2,9.2,"Chuo-ku Nipponbashi 2-4-10,Osaka"
"248","
                        Roots Hostel
                    ","
            9.1
        ","Superb","71 Total Reviews",8.6,9.5,8.5,9.2,9.1,9.5,9.4,"1-9-11,Itachibori,Nishi-ku,Osaka"
"249","
                        Osaka Namba Hostel MIYABI
                    ","
            8.8
        ","Fabulous","84 Total Reviews",8.7,8.7,7.9,9.1,8.4,9.7,8.9,"2-7-26, Motomachi Naniwaku Osaka city"
"250","
                        Khaosan World Tennoji Hostel
                    ","
            8.7
        ","Fabulous","86 Total Reviews",7.7,9.2,8.7,9.1,9.2,8.7,8.7,"3-9 Kitakawahoricho, Osaka-shi, Tennoji-ku"
"251","
                        Kintetsu Friendly Hostel -Osaka Tennoji Park-
                    ","
            9.4
        ","Superb","96 Total Reviews",8.5,9.6,9.3,9.6,9.7,9.6,9.2,"5-55 Chausuyama-cho, Tennoji-ku, Osaka"
"252","
                        The Dorm Hostel Osaka
                    ","
            9.4
        ","Superb","21 Total Reviews",8.8,9.6,9.4,9.8,9.2,9.6,9.4,"Shinsaibashi DAIWA Bldg.2F, 1-12-20,, Higashishinnsaibashi, Chuo-ku, Osaka-shi, Osaka"
"253","
                        Hostel Enisia Namba
                    ","
            9.4
        ","Superb","36 Total Reviews",8,10,10,10,10,10,8,"1-7-14<U+3001>Sennichimae,Chuo word,Osaka"
"254","
                        Guest House Onoya
                    ","
            9.7
        ","Superb","24 Total Reviews",10,10,9.6,8.8,9.8,10,9.8,"1-5-18,Joto-ku, Noe,Osaka"
"255","
                        Hostel Chillout
                    ","
            9.0
        ","Superb","77 Total Reviews",8,9.8,8.7,9.1,8.7,9.6,8.9,"2-2-2 Saiwai-cho, Naniwa-ku, Osaka-shi"
"256","
                        Sun Village Tsuruhashi
                    ","
            8.6
        ","Fabulous","8 Total Reviews",7.3,10,8.5,9,7.8,8.5,9.5,"537-0024 Osaka Prefecture, Osaka, Higashi Obase 3-"
"257","
                        Guesthouse HetoGep
                    ","
            9.3
        ","Superb","19 Total Reviews",9.3,9,8.7,9.7,9.3,9.7,9.7,"2-4-12,Sennichimae,Chuouku Osaka"
"258","
                        Home Hostel Osaka
                    ","
            9.5
        ","Superb","47 Total Reviews",9.2,9.8,9.6,9.4,9.8,9.6,9.4,"2-1-11 Ebisuhigashi, Naniwa-ku, Osaka"
"259","
                        Idocoro
                    ","
            7.0
        ","Very Good","65 Total Reviews",5.2,6.4,5.6,8,8.4,8,7.2,"1-3-2 Hirano machi, Chuo-ku, Osaka-shi"
"260","
                        Very Hostel Namba
                    ","
            9.5
        ","Superb","31 Total Reviews",9.6,10,9.8,8.4,9,9.4,10,"2-14—13,sakuragawa,naniwaku,osaka"
"261","
                        New World Inn
                    ","
            8.2
        ","Fabulous","3 Total Reviews",6,8,8,8.7,9.3,9.3,8,"1-5-6 Taishi, Nishinari-ku, Osaka-shi, Osaka"
"262","
                        J-Hoppers Osaka Universal
                    ","
            9.1
        ","Superb","198 Total Reviews",8.6,9.2,9.2,8.9,9.1,9.4,9.4,"3-10-12, Shimaya, Konohana-Ku"
"263","
                        Hostel Jin
                    ","
            9.6
        ","Superb","64 Total Reviews",8.9,9.5,9.6,9.6,9.6,10,9.6,"2-4-19, Nishikujo, Konohana-ku, Osaka-shi, Osaka"
"264","
                        Beehive Hostel Osaka
                    ","
            9.4
        ","Superb","55 Total Reviews",9.2,10,9.6,8,9.6,9.6,10,"1-8-17,Minamisemba,Chuo-ku,Osaka,"
"265","
                        Osaka Guesthouse Nest
                    ","
            9.7
        ","Superb","34 Total Reviews",9,10,9.5,9.5,10,10,10,"2-4-14, Teradacho Tennoji-ku, Osaka-shi"
"266","
                        Peace House Showa
                    ","
            8.9
        ","Fabulous","341 Total Reviews",9.6,9.2,9.2,8,6.8,9.2,10,"2-8-4 Sanno, Nishinari-ku"
"267","
                        Bon Hostel
                    ","
            9.4
        ","Superb","2 Total Reviews",9,10,10,8,10,9,10,"Naniwa-ku Shikitsuhigashi 3-1-3"
"268","
                        Dotombori Base
                    ","
            8.1
        ","Fabulous","33 Total Reviews",7.7,7.1,6.7,9.7,8,9.1,8.6,"Sennichimae 1-2-9 , Chuo-Ku, Osaka"
"269","
                        Umbrella House Osaka
                    ","
            8.0
        ","Fabulous","13 Total Reviews",7.6,8.8,8.4,7.6,8,8,7.6,"2-7-1, Tatsumiminami, Ikuno-ku Osaka-shi, Osaka"
"270","
                        Peace House Sachi
                    ","
            7.3
        ","Very Good","125 Total Reviews",7,6,5,9,9,9,6,"1-3-2, Taishi, Nishinari-ku, Sanno 2-7-3"
"271","
                        Peace House Abeno
                    ","
            8.8
        ","Fabulous","61 Total Reviews",8.4,9.2,8.8,7.6,8.4,9.6,9.6,"2-3-24, Sanno, Nishinari-ku, Osaka"
"272","
                        Hostel Q
                    ","
            8.1
        ","Fabulous","130 Total Reviews",6.3,7.3,7.7,9.7,8,9.3,8.7,"2-6-9 Nishishinsaibashi, Chuo-ku"
"273","
                        Hostel ViAGGiO
                    ","
            8.0
        ","Fabulous","23 Total Reviews",8,7,7,9,8,8,9,"Nipponbashi 4-9-1,Naniwa-ku,Osaka"
"274","
                        Shell Nell namba
                    ","
            8.7
        ","Fabulous","8 Total Reviews",7.5,8.5,8.5,9,9.5,9,9,"1/F,Nipponbashi Center Bldg,2-9-16 Nipponbashi, Chuo-ku,Osaka-shi Osaka"
"275","
                        Hostel moku-moku
                    ","
            8.9
        ","Fabulous","41 Total Reviews",8,9.5,8.5,9,8.5,9.5,9,"Awaji 4-33-3, Higashiyodogawa-ku"
"276","
                        Qoo Hostel Osaka
                    ","
            8.3
        ","Fabulous","5 Total Reviews",8,8.4,8,8.4,8.4,8.4,8.4,"5-12-3 nihonbashi, naniwa-ku, Osaka"
"277","
                        Shin-Osaka Tomato Guest House
                    ","
            8.3
        ","Fabulous","135 Total Reviews",7.5,8.5,8,7.5,9,9,8.5,"2-7-4 Nishi Nakajima, Yodogawa ku"
"278","
                        White Hostel Shinsaibashi
                    ","
            8.9
        ","Fabulous","7 Total Reviews",7.3,9.3,9.3,8.7,9.3,9,9,"1-6-20 Higashishinsaibashi, Chuo-ku"
"279","
                        Bonsai Guest House
                    ","
            9.0
        ","Superb","865 Total Reviews",8,10,8.7,8.7,9.3,9.3,9.3,"1-4-13 Momodani, Ikuno-ku"
"280","
                        Hotel Taiyo
                    ","
            7.4
        ","Very Good","693 Total Reviews",6.8,6.8,6.8,8.4,7.6,8,7.2,"1-2-23, Taishi"
"281","
                        Osaka Hostel Kai
                    ","
            8.1
        ","Fabulous","52 Total Reviews",8,8.4,7.2,7.6,7.6,9.6,8,"1-22-29 yoshino, fukushima-ku, Osaka"
"282","
                        Sun Village Tamatsukuri
                    ","
            8.9
        ","Fabulous","1 Total Review",8,8,10,8,10,10,8,"1-10-16, Higashiobase, Higashinari-ku Osaka-shi, O, Osaka"
"283","
                        Hostel J Culture 168
                    ","
            9.3
        ","Superb","6 Total Reviews",9.3,10,10,7.3,9.3,10,9.3,"3rd Floor, 2nd Sunrise Bldg., 2-3-11, Shonai Higas"
"284","
                        Capsule Hotel Asahi Plaza Shinsaibashi
                    ","
            8.7
        ","Fabulous","693 Total Reviews",6.9,9.4,8.9,9.4,9.4,8,8.6,"2-12-22,Nishihinsaibashi,Chuouku,Osakashi"
"285","
                        Guesthouse Morizou Female only
                    ","
            8.9
        ","Fabulous","22 Total Reviews",9.2,9.2,8.8,7.6,8,9.6,9.6,"2-12-12, Morinomiyachuo, Chuo-ku"
"286","
                        Casa Macondo
                    ","
            7.4
        ","Very Good","10 Total Reviews",7.5,8,8,7.5,6.5,7,7.5,"3 Chome-1-22 Shiokusa, Naniwa-ku, Osaka"
"287","
                        Ken's House
                    ","
            7.7
        ","Very Good","55 Total Reviews",6.3,8,6.7,9.3,7.3,8.3,8,"1-8-12, Nanbanaka, Naniwa-ku, Osaka-si"
"288","
                        B&S Eco Cube Shinsaibashi
                    ","
            6.7
        ","Good","57 Total Reviews",4,8,6,10,7,6,6,"9-4.2-Chome, Nishi Shinsaibashi"
"289","
                        Bonfire Hostel Osaka
                    ","
            9.0
        ","Superb","56 Total Reviews",7,9,10,9,9,9,10,"2F Moriwaki Building, 1-3-14, Bandaihigasi, Sumiyosi-Ku, Osaka-shi"
"290","
                        Guesthouse Fujitatami
                    ","
            9.6
        ","Superb","12 Total Reviews",9.3,10,10,8.7,9.3,10,10,"240-1 Ikedashimo-cho Izumi city"
"291","
                        Hotel Sun`Plaza 2
                    ","
            7.9
        ","Very Good","181 Total Reviews",8,7,7,9,8,8,8,"1-2-20, Taishi, Nishinari-ku"
"292","
                        Hotel Mikado
                    ","
            6.3
        ","Good","1076 Total Reviews",4,10,6,10,10,2,2,"1-2-11, Taishi, Nishinari-ku"
"293","
                        Goen Lounge&Stay
                    ","
            9.4
        ","Superb","5 Total Reviews",10,10,8,8,10,10,10,"T-SITE ANNEX II 5F Okahigashi-cho8-9, Hirakata, Osaka"
"294","
                        Hotel Shin-Imamiya
                    ","
            7.1
        ","Very Good","26 Total Reviews",6,6.5,6.5,8.5,7,7.5,8,"1-2-20 Haginochaya, Nishinari-ku"
"295","
                        Shin-Osaka Youth Hostel
                    ","
            8.9
        ","Fabulous","64 Total Reviews",7,10,9,9,10,8,9,"1-13-13 KOKO Plaza10F Higashi-Nakajima, Higashi-yodogawa-ku"
"296","
                        Coco Hostel Osaka
                    ","
            7.7
        ","Very Good","17 Total Reviews",6.5,8.5,7,9.5,6.5,8.5,7.5,"2-15-27, Nipponbashi,Chuo-ku,Osaka City"
"297","
                        Guesthouse Siam
                    ","
            8.3
        ","Fabulous","1 Total Review",8,10,10,6,8,10,6,"Osaka Prefecture, Osaka, Tsurumi-Ku, Hanaten-Higa"
"298","
                        Senba Hostel
                    ","
            4.0
        ","Rating","35 Total Reviews",2,4,6,4,4,4,4,"1-8-2 Bakuro-cho, Chouo-ku"
"299","
                        Poly Hostel 2 Namba
                    ","
            10.0
        ","Superb","1 Total Review",NA,NA,NA,NA,NA,NA,NA,"2 Chome-16-12 NipponbashiChuo-ku"
"300","
                        Hotel Raizan South
                    ","
            9.4
        ","Superb","631 Total Reviews",10,8,8,10,10,10,10,"3-3-1  Taishi, Nisinari ku"
"301","
                        Music Uni Street Backpackers Hostel
                    ","
            8.9
        ","Fabulous","6 Total Reviews",9.3,9.3,9.3,6.7,8,10,9.3,"1-8-18 Shonai sakae-machi Toyonaka-shi Osaka-fu"
"302","
                        Lore Hostel Dontonbori
                    ","
            8.3
        ","Fabulous","17 Total Reviews",6,10,8,10,6,8,10,"1-8-21, Sennnichi-mae, Chuo ward"
"303","
                        Osaka International Youth Hostel
                    ","
            6.3
        ","Good","23 Total Reviews",6,6,8,4,6,8,6,"Hagoromokoen-Cho, Takaishi-City, Osaka"
"304","
                        Hostel Namba Takumi
                    ","
            7.4
        ","Very Good","4 Total Reviews",6.5,8,6.5,9,5,9,8,"3-1-23, Namba, Chuo-ku, Osaka-shi, Osaka-fu,"
"305","
                        Osaka Guest House DOYA
                    ","
            8.0
        ","Fabulous","1 Total Review",6,10,10,4,10,8,8,"2-12-21, Hanazonokita, Nishinari-ku Osaka-shi, Osa"
"306","
                        YADOKARI Namba Hostel
                    ","
            9.7
        ","Superb","3 Total Reviews",NA,NA,NA,NA,NA,NA,NA,"Osaka-shi Tennoji-ku Ueshio 3-1-3"
"307","
                        Daikoku Hostel
                    ","
            8.0
        ","Fabulous","203 Total Reviews",6,8,8,8,9,9,8,"1-2-3. Daikoku, Naniwa -ku, Osaka"
"308","
                        Hostel AI
                    ","
            2.0
        ","Rating","2 Total Reviews",2,2,2,2,2,2,2,"2-14-24 Sangenyanishi, Taisho-ku"
"309","
                        Backpackers Hostel K's House Hiroshima
                    ","
            9.2
        ","Superb","2855 Total Reviews",8.7,9.4,8.9,9,9.4,9.5,9.1,"1-8-9, Matoba-cho, Minami-ku, Hiroshima city, Japa"
"310","
                        Santiago Guesthouse Hiroshima
                    ","
            8.6
        ","Fabulous","1159 Total Reviews",7.9,9.1,8.5,9.4,8.6,8.2,8.7,"4-18 Nakamachi, Naka-ku"
"311","
                        Guesthouse Hiroshima Mange Tak
                    ","
            9.2
        ","Superb","153 Total Reviews",8.5,9.6,9.1,9.3,9.2,9.6,9.2,"2-1-13, Sakaimachi, Naka-ku Hiroshima-shi"
"312","
                        Hostel Mallika
                    ","
            9.3
        ","Superb","186 Total Reviews",8.2,9.2,9.4,9.8,9.3,9.6,9.5,"9-5 Nakajima-cho, Naka-ku, Hiroshima"
"313","
                        Hiroshima Hostel EN
                    ","
            9.4
        ","Superb","99 Total Reviews",9.4,9.3,8.8,9.4,9.4,9.8,9.5,"Yokogawa-cho 2-10-1, Nishi-ku, Hiroshima"
"314","
                        J-Hoppers Hiroshima Guesthouse
                    ","
            9.2
        ","Superb","2961 Total Reviews",8.4,9.6,8.8,9.3,9.5,9.8,8.9,"5-15, Dobashi-cho, Naka-ku, Hiroshima-shi"
"315","
                        The Evergreen Hostel
                    ","
            8.9
        ","Fabulous","176 Total Reviews",8.7,9.2,8.2,9.5,9,9.1,8.8,"2-4-17, Honkawa-cho, Naka-ku, Hiroshima-shi"
"316","
                        Simple Stay Peacepark
                    ","
            7.9
        ","Very Good","23 Total Reviews",7.7,7.1,7.6,9.6,7.9,7.7,7.9,"Nakashima-cho 8-21 Naka-ku Hiroshima city"
"317","
                        Guest House Roku
                    ","
            9.3
        ","Superb","707 Total Reviews",9.3,9.5,9.1,8.9,9.2,9.7,9.3,"Hakushima  Kukencho 6-18, Naka – ku, Hiroshima city"
"318","
                        Omotenashi Hostel Miyajima
                    ","
            9.2
        ","Superb","332 Total Reviews",8.9,9.5,9.4,8.2,9.5,9.5,9.5,"5-15-10, Jigozen, Hatsukaichi City, Hiroshima Pref"
"319","
                        Hostel & Cafe Bar Backpackers Miyajima
                    ","
            9.5
        ","Superb","1836 Total Reviews",9.2,9.7,9.5,9.7,9.4,10,9.3,"1-8-11 Miyajimaguchi, Hatsukaichi-shi"
"320","
                        Hiroshima Hana Hostel
                    ","
            8.6
        ","Fabulous","2419 Total Reviews",7.6,8.6,8.3,9.4,8.8,9.2,8.7,"Kojinmachi 1-15, Minami-ku"
"321","
                        Hostel Kawate-ya
                    ","
            9.4
        ","Superb","9 Total Reviews",9.1,9.6,9.6,9.8,9.1,9.6,9.3,"2-2-26<U+3001>Naka-ku, Tokaichimachi"
"322","
                        Hiroshima Fan’s Hostel
                    ","
            10.0
        ","Superb","1 Total Review",NA,NA,NA,NA,NA,NA,NA,"Hatsukaichi City Miyajimaguchi 2 - chome 1 - 25"
"323","
                        Hostel & Powder Room Crane(female only)
                    ","
            9.9
        ","Superb","4 Total Reviews",9.5,10,10,10,10,10,9.5,"Hunairimachi6-2 4F, Naka-ku Hiroshima-shi"
"324","
                        SUMIYA Spa & Hotel
                    ","
            8.6
        ","Fabulous","1 Total Review",NA,NA,NA,NA,NA,NA,NA,"6-18 Kyobashi-cho, Minami-ku"
"325","
                        Common de Hostel & Bar
                    ","
            9.3
        ","Superb","26 Total Reviews",8.4,9.7,9.9,9.3,9.6,9.4,9.1,"7-13 Komondomachi, Hakata-ward,Fukuoka-City"
"326","
                        & And Hostel
                    ","
            9.1
        ","Superb","335 Total Reviews",8.9,9.4,8.9,9.4,9,9.2,9.1,"10-5, Kamikawabata, Hakata, Fukuoka city, Fukuoka Prefecture"
"327","
                        Fukuoka Hana Hostel
                    ","
            9.2
        ","Superb","698 Total Reviews",8.1,9.6,8.7,9.4,9.6,9.6,9.2,"4-213, Kamikawabata-machi, Hakata-ku"
"328","
                        THE LIFE hostel & bar lounge
                    ","
            8.9
        ","Fabulous","381 Total Reviews",8.6,9.3,9.1,9.5,8.8,8.6,8.5,"8-13 Gionmachi Hakataku Fukuoka"
"329","
                        Ark Blue Hotel
                    ","
            9.0
        ","Superb","22 Total Reviews",8.3,10,8.8,8,9.5,9.3,9.3,"12-16, Konyamachi, Kokurakita-ku Kitakyushu-shi, Fukuoka pref"
"330","
                        Kia Ora Budgetstay
                    ","
            8.9
        ","Fabulous","363 Total Reviews",8.7,9.4,9.2,8.5,8.3,9.2,9,"5-4-15 Katakasu, Hakata-kku, Fukuoka, Japan"
"331","
                        WeBase HAKATA
                    ","
            9.1
        ","Superb","60 Total Reviews",8,9.6,9.6,8.8,9,9.8,9,":5-9 tenyamachi hakataku"
"332","
                        Hakozaki Garden Guesthouse
                    ","
            9.6
        ","Superb","16 Total Reviews",9.6,9.9,9.8,8.6,9.5,10,9.9,"1-26-17,Hakozaki,Higashi-ku,Fukuoka-shi"
"333","
                        Fukuoka Backpackers Hostel
                    ","
            8.4
        ","Fabulous","1425 Total Reviews",8.1,8.9,7.9,8.3,8.7,8.9,8.4,"11-34, Hiemachi, Hakata-ku"
"334","
                        Hostel TOKI
                    ","
            9.5
        ","Superb","12 Total Reviews",9.8,9.8,9.3,9,9,9.8,10,"GF 2-2-21 Minoshima, Hakata-ku, Fukuoka-shi"
"335","
                        Tonagi Hostel × Cafe
                    ","
            8.3
        ","Fabulous","37 Total Reviews",9,7,8,9,7,9,9,"4-16 Chiyo 4chome,, Hakata-ku"
"336","
                        Hostel Stand By Me
                    ","
            8.7
        ","Fabulous","15 Total Reviews",8.6,9.6,8.7,8.3,8,8.9,8.7,"1-3-22 Otemon Chuo-ku Fukuoka-shi, Fukuoka"
"337","
                        B&C Gakubuchi
                    ","
            9.5
        ","Superb","13 Total Reviews",9.7,10,8.7,9.7,9.3,10,9.3,"4-3, Kamigofukumachi, Hakataku, Fukuoka"
"338","
                        Fukuoka Guesthouse Little Asia Kokura
                    ","
            8.2
        ","Fabulous","84 Total Reviews",7.6,8,7.6,8.4,8.8,8.4,8.4,"4F Nakamichi Building 1-5-15, Sakaimachi, Kita-Ku, Kokura, Kitakyushu"
"339","
                        Bed Stock
                    ","
            7.7
        ","Very Good","29 Total Reviews",9,5,7,10,6,9,8,"Akasaka1-11-16, Thuo-ku, Fukuoka-city"
"340","
                        The Gate Hostel
                    ","
            8.6
        ","Fabulous","12 Total Reviews",8.5,8.9,7.8,8.9,8.9,8.9,8.4,"10-3 Komondocho, Hakata-ku, Fukuoka"
"341","
                        Guest House Hokorobi
                    ","
            9.4
        ","Superb","188 Total Reviews",10,10,10,8,9,10,9,"5-4-22, Muromi, Sawara-ku, Fukuka-shi"
"342","
                        Trip Pod Fukuoka - snack & bed -
                    ","
            9.1
        ","Superb","7 Total Reviews",8.4,9.2,9.2,10,8.4,8.4,10,"1-13-30, Joji Building, 2nd and 3rd floor, Imaizum"
"343","
                        Book And Bed Tokyo Fukuoka
                    ","
            6.6
        ","Good","11 Total Reviews",6.5,6,7,7.5,7,5.5,7,"Fukuoka New ParcoA 6th Floor, 2 Chome 11-1 Tenjin, Chuo-ku"
"344","
                        Norishico Auto Guesthouse
                    ","
            10.0
        ","Superb","16 Total Reviews",10,10,10,10,10,10,10,"6-26-6 Murasaki Chikushino-city,Fukuoka"
"345","
                        HATAGO tenjin
                    ","
            7.1
        ","Very Good","19 Total Reviews",8,6,6,8,8,8,6,"5-7-12 Tenjin, Tyuo-ku,Fukuoka-shi"
